Year,Sex,Age,Time,Australia,USA,Surfing,Scuba,Fatality,Injury,Length
2014,M,35,AM,1,0,1,0,0,0,180
2013,M,19,AM,0,0,1,0,0,1,140
2013,M,74,AM,0,0,0,0,1,1,144
2013,M,45,AM,0,1,1,0,0,1,95
2013,M,46,PM,0,0,0,0,1,1,156
2012,M,24,AM,1,0,1,0,1,1,196
2012,M,30,PM,1,0,1,0,0,0,80
2012,M,20,PM,0,0,1,0,1,1,177
2012,M,33,AM,1,0,0,1,1,1,157
2011,M,51,AM,1,0,1,0,0,1,100
2011,M,32,PM,1,0,0,1,1,1,120
2011,M,49,AM,0,0,1,0,1,1,80
2011,M,29,AM,0,0,1,0,0,1,144
2010,F,20,PM,1,0,0,0,0,1,36
2010,M,29,PM,0,1,1,0,0,0,144
2010,M,18,PM,1,0,1,0,0,0,98
2009,F,22,PM,0,1,0,0,0,1,68
2009,M,33,PM,1,0,1,0,0,1,98
2009,F,13,PM,1,0,1,0,0,1,196
2009,M,31,AM,1,0,1,0,0,1,157
2008,M,29,AM,1,0,0,0,0,0,177
2008,M,51,AM,1,0,0,0,1,1,170
2008,M,43,PM,0,0,0,0,0,1,144
2008,M,31,AM,1,0,1,0,0,0,84
2008,M,37,AM,1,0,0,0,0,1,157
2008,M,66,AM,0,1,0,0,1,1,180
2008,M,28,AM,0,1,1,0,0,0,180
2007,M,37,AM,0,0,1,0,0,1,137
2007,M,24,AM,0,1,1,0,0,1,144
2006,M,25,PM,1,0,1,0,0,1,118
2006,M,43,AM,0,1,1,0,0,1,156
2006,M,22,PM,0,1,1,0,0,0,192
2006,M,40,AM,1,0,1,0,0,0,168
2006,M,52,AM,1,0,0,1,0,1,137
2005,M,26,AM,0,1,1,0,0,0,156
2005,F,20,AM,0,1,1,0,0,1,216
2005,M,26,PM,1,0,1,0,0,1,180
2005,M,40,PM,1,0,1,0,0,1,160
2005,M,17,AM,0,1,1,0,0,0,72
2005,M,26,PM,1,0,0,0,1,1,240
2004,M,18,PM,1,0,0,0,1,1,196
2004,F,77,AM,0,0,0,0,1,1,240
2004,M,38,PM,0,1,1,0,0,1,216
2004,M,52,AM,0,0,0,0,0,1,84
2004,M,50,PM,0,1,0,1,1,1,204
2004,M,45,AM,0,1,1,0,0,0,110
2004,M,16,PM,0,0,1,0,0,1,199
2004,M,46,AM,1,0,0,1,0,1,176
2003,F,50,AM,0,1,0,0,1,1,196
2003,M,16,AM,0,0,1,0,0,0,140
2003,M,44,AM,0,0,0,1,0,1,100
2002,M,48,AM,0,1,1,0,0,1,156
2002,M,24,PM,0,1,1,0,0,1,156
2002,M,23,PM,1,0,0,0,1,1,240
2001,M,31,PM,1,0,0,0,0,0,156
2001,M,52,AM,0,1,0,0,0,0,108
2001,M,46,AM,0,0,1,0,0,1,108
2000,M,52,AM,1,0,0,0,0,1,192
2000,M,49,AM,1,0,0,0,1,1,200
2000,M,27,PM,0,1,1,0,0,1,108
2000,M,25,AM,1,0,1,0,1,1,196
2000,M,48,AM,0,0,0,0,0,0,140
1999,M,42,PM,0,0,1,0,0,1,180
1999,M,29,AM,0,0,1,0,0,1,156
1999,M,30,PM,0,0,0,0,0,1,180
